,Trail Name,compound,RF_Sentiment,name_from_alltrails,name,area_name,city_name,state_name,country_name,length,elevation_gain,difficulty_rating,route_type,avg_rating,num_reviews,features,activities,river,beach,strollers,forest,city-walk,partially-paved,kids,rails-trails,dogs,waterfall,dogs-leash,ada,paved,hot-springs,views,dogs-no,cave,historic-site,wildlife,wild-flowers,lake,mountain-biking,surfing,off-road-driving,camping,walking,fishing,whitewater-kayaking,road-biking,horseback-riding,rails-trails.1,skiing,backpacking,scenic-driving,paddle-sports,sea-kayaking,canoeing,trail-running,bike-touring,birding,rock-climbing,cross-country-skiing,snowshoeing,ice-climbing,snowboarding,hiking,fly-fishing,nature-trips,update_name,update_state,trail_url,Lat,Lng
10,Andrews Bald Trail,0.86532,1,Andrews Bald Trail,Andrews Bald Trail,Great Smoky Mountains National Park,Cherokee,North Carolina,United States,5632.69,260.9088,3,out and back,4.5,329,"['dogs-no', 'forest', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Andrews-Bald-Trail,North-Carolina,https://www.alltrails.com/trail/us/North-Carolina/Andrews-Bald-Trail,35.5569,-83.49613
11,Andrews Glacier Trail,0.8709571428571429,1,Andrews Tarn and Andrews Glacier Trail,Andrews Tarn and Andrews Glacier Trail,Rocky Mountain National Park,Estes Park,Colorado,United States,13518.456,688.848,5,out and back,5.0,70,"['dogs-no', 'forest', 'lake', 'river', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips', 'snowshoeing']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,Andrews-Tarn-and-Andrews-Glacier-Trail,Colorado,https://www.alltrails.com/trail/us/Colorado/Andrews-Tarn-and-Andrews-Glacier-Trail,40.31035,-105.6404
12,Angel Arch,0.9351,1,Angel Arch from Cave Spring,Angel Arch from Cave Spring,Canyonlands National Park,Monticello,Utah,United States,41681.906,415.7472,3,out and back,3.5,2,['dogs-no'],"['backpacking', 'camping', 'hiking', 'trail-running']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Angel-Arch-from-Cave-Spring,Utah,https://www.alltrails.com/trail/us/Utah/Angel-Arch-from-Cave-Spring,38.15477,-109.75403
13,Anhinga Trail,0.7541100000000001,1,Anhinga Trail,Anhinga Trail,Everglades National Park,Homestead,Florida,United States,2414.01,0.0,1,loop,4.5,97,"['dogs-no', 'kids', 'partially-paved', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Anhinga-Trail,Florida,https://www.alltrails.com/trail/us/Florida/Anhinga-Trail,25.38252,-80.60978
14,Anthony Creek Trail,0.8718,1,Rocky Top via Anthony Creek Trail,Rocky Top via Anthony Creek Trail,Great Smoky Mountains National Park,Townsend,Tennessee,United States,18829.278,1118.9208,5,out and back,4.5,41,"['dogs-no', 'forest', 'river', 'views', 'wildlife']","['camping', 'hiking', 'nature-trips']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Rocky-Top-via-Anthony-Creek-Trail,Tennessee,https://www.alltrails.com/trail/us/Tennessee/Rocky-Top-via-Anthony-Creek-Trail,35.60501,-83.7701
15,Apgar Lookout Trail,0.78433,1,Apgar Lookout Trail,Apgar Lookout Trail,Glacier National Park,Columbia Falls,Montana,United States,11426.314,566.928,5,out and back,4.0,220,"['dogs-no', 'forest', 'river', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Apgar-Lookout-Trail,Montana,https://www.alltrails.com/trail/us/Montana/Apgar-Lookout-Trail,48.50434,-114.02082
16,Apikuni Falls,0.72356,0,Apikuni Falls Trail via Appekunny Creek Trail,Apikuni Falls Trail via Appekunny Creek Trail,Glacier National Park,Browning,Montana,United States,2896.812,178.9176,1,out and back,4.5,119,"['dogs-no', 'forest', 'lake', 'kids', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Apikuni-Falls-Trail-via-Appekunny-Creek-Trail,Montana,https://www.alltrails.com/trail/us/Montana/Apikuni-Falls-Trail-via-Appekunny-Creek-Trail,48.80541,-113.63446
17,Appalachian Trail,0.71322,0,Shuckstack Tower via Appalachian Trail,Shuckstack Tower via Appalachian Trail,Great Smoky Mountains National Park,Fontana Dam,North Carolina,United States,10621.644,683.9712,5,out and back,4.5,60,"['dogs-no', 'forest', 'lake', 'river', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips', 'trail-running', 'horseback-riding']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Shuckstack-Tower-via-Appalachian-Trail,North-Carolina,https://www.alltrails.com/trail/us/North-Carolina/Shuckstack-Tower-via-Appalachian-Trail,35.46045,-83.81108
18,Appistoki Falls,-0.5517,0,Appistoki Falls,Appistoki Falls,Glacier National Park,East Glacier Park Village,Montana,United States,1931.208,49.9872,1,out and back,3.5,27,"['beach', 'dogs-no', 'forest', 'kids', 'river', 'views', 'waterfall', 'wild-flowers']","['birding', 'hiking', 'nature-trips', 'walking']",1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Appistoki-Falls,Montana,https://www.alltrails.com/trail/us/Montana/Appistoki-Falls,48.48511,-113.36152
19,Aqua Canyon Connecting Trail,0.57204,0,Agua Canyon Connecting Trail,Agua Canyon Connecting Trail,Bryce Canyon National Park,Bryce,Utah,United States,4828.02,304.8,3,out and back,1.5,4,"['dogs-no', 'forest', 'views', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Agua-Canyon-Connecting-Trail,Utah,https://www.alltrails.com/trail/us/Utah/Agua-Canyon-Connecting-Trail,37.50369,-112.26266
20,Arch Rock Nature Trail,0.74196,0,Arch Rock Nature Trail,Arch Rock Nature Trail,Joshua Tree National Park,Twentynine Palms,California,United States,1126.538,7.9248,1,out and back,4.5,251,"['dogs-no', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'walking']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Arch-Rock-Nature-Trail,California,https://www.alltrails.com/trail/us/California/Arch-Rock-Nature-Trail,33.984140000000004,-116.01655
21,Cap Rock Nature Trail,0.5930500000000001,0,Arch Rock Nature Trail,Arch Rock Nature Trail,Joshua Tree National Park,Twentynine Palms,California,United States,1126.538,7.9248,1,out and back,4.5,251,"['dogs-no', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'walking']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Arch-Rock-Nature-Trail,California,https://www.alltrails.com/trail/us/California/Arch-Rock-Nature-Trail,33.984140000000004,-116.01655
22,Arches National Park,0.78679,1,Arches National Park Driving Tour,Arches National Park Driving Tour,Arches National Park,Moab,Utah,United States,45544.322,937.8696,1,point to point,4.5,162,"['ada', 'cave', 'dogs-no', 'historic-site', 'kids', 'paved', 'views', 'waterfall']","['hiking', 'nature-trips', 'scenic-driving', 'walking']",0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Arches-National-Park-Driving-Tour,Utah,https://www.alltrails.com/trail/us/Utah/Arches-National-Park-Driving-Tour,38.61587,-109.61999
23,Artist's Drive,0.56738,0,Artists Drive,Artists Drive,Death Valley National Park,Death Valley,California,United States,15610.598,503.8344,1,point to point,4.5,55,"['kids', 'paved', 'views', 'wild-flowers', 'wildlife']","['road-biking', 'scenic-driving']",0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Artists-Drive,California,https://www.alltrails.com/trail/us/California/Artists-Drive,36.33004,-116.83007
24,Aster Falls,0.86219,1,Carter Falls,Carter Falls,Mount Rainier National Park,Packwood,Washington,United States,4345.218,168.8592,1,out and back,4.0,112,"['forest', 'kids', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['hiking', 'nature-trips']",1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Carter-Falls,Washington,https://www.alltrails.com/trail/us/Washington/Carter-Falls,46.76687,-121.7908
25,Avalanche Creek Trail,0.8299333333333333,1,Avalanche Peak Trail,Avalanche Peak Trail,Yellowstone National Park,Yellowstone National Park,Wyoming,United States,7402.964,614.7816,5,out and back,5.0,166,"['dogs-no', 'forest', 'lake', 'views', 'wildlife']","['birding', 'hiking', 'rock-climbing', 'snowshoeing', 'trail-running']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,Avalanche-Peak-Trail,Wyoming,https://www.alltrails.com/trail/us/Wyoming/Avalanche-Peak-Trail,44.47151,-110.14258
26,Avalanche Peak Trail,0.79222,1,Avalanche Peak Trail,Avalanche Peak Trail,Yellowstone National Park,Yellowstone National Park,Wyoming,United States,7402.964,614.7816,5,out and back,5.0,166,"['dogs-no', 'forest', 'lake', 'views', 'wildlife']","['birding', 'hiking', 'rock-climbing', 'snowshoeing', 'trail-running']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,Avalanche-Peak-Trail,Wyoming,https://www.alltrails.com/trail/us/Wyoming/Avalanche-Peak-Trail,44.47151,-110.14258
27,Avalanche Lake,0.65613,0,Avalanche Lake via the Trail of the Cedars,Avalanche Lake via the Trail of the Cedars,Glacier National Park,Lake Mc Donald,Montana,United States,9173.238,227.9904,3,out and back,4.5,1465,"['ada', 'dogs-no', 'forest', 'lake', 'kids', 'river', 'strollers', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'skiing', 'trail-running', 'walking', 'cross-country-skiing']",1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,Avalanche-Lake-via-the-Trail-of-the-Cedars,Montana,https://www.alltrails.com/trail/us/Montana/Avalanche-Lake-via-the-Trail-of-the-Cedars,48.68007,-113.81912
28,Badger House Community,0.9382,1,Badger House Community Trail,Badger House Community Trail,Mesa Verde National Park,Mesa Verde National Park,Colorado,United States,3701.482,41.7576,1,loop,4.0,14,"['dogs-no', 'historic-site', 'kids', 'views']","['hiking', 'walking']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Badger-House-Community-Trail,Colorado,https://www.alltrails.com/trail/us/Colorado/Badger-House-Community-Trail,37.19574,-108.53807
29,Badwater,0.50347,0,Badwater Basin Salt Flats Trail,Badwater Basin Salt Flats Trail,Death Valley National Park,Death Valley,California,United States,2896.812,2.7432,1,out and back,4.5,259,"['dogs-no', 'kids', 'views', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Badwater-Basin-Salt-Flats-Trail,California,https://www.alltrails.com/trail/us/California/Badwater-Basin-Salt-Flats-Trail,36.23035,-116.7668
30,Baker Lake,0.5686,0,Baker Lake Trail,Baker Lake Trail,Great Basin National Park,Baker,Nevada,United States,16737.136,813.816,5,out and back,4.5,17,"['dogs-no', 'lake', 'views']","['backpacking', 'birding', 'hiking', 'nature-trips']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Baker-Lake-Trail,Nevada,https://www.alltrails.com/trail/us/Nevada/Baker-Lake-Trail,38.97643,-114.24575
31,Baker Lake Trail,0.8356428571428571,1,Baker Lake Trail,Baker Lake Trail,Great Basin National Park,Baker,Nevada,United States,16737.136,813.816,5,out and back,4.5,17,"['dogs-no', 'lake', 'views']","['backpacking', 'birding', 'hiking', 'nature-trips']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Baker-Lake-Trail,Nevada,https://www.alltrails.com/trail/us/Nevada/Baker-Lake-Trail,38.97643,-114.24575
32,Balanced Rock Trail,0.8471399999999999,1,Balanced Rock Trail,Balanced Rock Trail,Big Bend National Park,Big Bend National Park,Texas,United States,3057.746,70.7136,1,out and back,4.5,180,"['dogs-no', 'kids', 'views', 'wild-flowers', 'wildlife']",['hiking'],0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Balanced-Rock-Trail,Texas,https://www.alltrails.com/trail/us/Texas/Balanced-Rock-Trail,29.41042,-103.20765
33,Balcony House,0.70058,0,Balcony House Loop Trail,Balcony House Loop Trail,Mesa Verde National Park,Mesa Verde National Park,Colorado,United States,643.736,27.7368,1,loop,4.5,68,"['dogs-no', 'forest', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Balcony-House-Loop-Trail,Colorado,https://www.alltrails.com/trail/us/Colorado/Balcony-House-Loop-Trail,37.1624,-108.46512
34,Bald Mountain Trail,0.868,1,Lady Mountain Trail,Lady Mountain Trail,Zion National Park,Springdale,Utah,United States,4023.35,812.9016,5,out and back,4.5,9,"['dogs-no', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Lady-Mountain-Trail,Utah,https://www.alltrails.com/trail/us/Utah/Lady-Mountain-Trail,37.25205,-112.95615
35,Barker Dam Trail,0.48025,0,Barker Dam Nature Trail,Barker Dam Nature Trail,Joshua Tree National Park,Twentynine Palms,California,United States,2896.812,19.812,1,out and back,4.5,480,"['dogs-no', 'forest', 'lake', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'rock-climbing', 'trail-running', 'walking']",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,Barker-Dam-Nature-Trail,California,https://www.alltrails.com/trail/us/California/Barker-Dam-Nature-Trail,34.02511,-116.14173
36,Bartlett Cove,0.67079,0,Bartlett Cove Forest Loop Trail,Bartlett Cove Forest Loop Trail,Glacier Bay National Park,Gustavus,Alaska,United States,1770.274,33.8328,1,loop,4.5,14,"['dogs-no', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking', 'sea-kayaking']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,Bartlett-Cove-Forest-Loop-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/Bartlett-Cove-Forest-Loop-Trail,58.45462,-135.88312
37,Loop Trail,0.7133,0,Bartlett Cove Forest Loop Trail,Bartlett Cove Forest Loop Trail,Glacier Bay National Park,Gustavus,Alaska,United States,1770.274,33.8328,1,loop,4.5,14,"['dogs-no', 'kids', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking', 'sea-kayaking']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,Bartlett-Cove-Forest-Loop-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/Bartlett-Cove-Forest-Loop-Trail,58.45462,-135.88312
38,Baskins Creek Falls,0.7869200000000001,1,Baskins Creek Trail and Baskins Creek Falls,Baskins Creek Trail and Baskins Creek Falls,Great Smoky Mountains National Park,Gatlinburg,Tennessee,United States,10299.776,529.7424,3,out and back,4.5,159,"['dogs-no', 'forest', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'hiking', 'nature-trips', 'trail-running']",1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Baskins-Creek-Trail-and-Baskins-Creek-Falls,Tennessee,https://www.alltrails.com/trail/us/Tennessee/Baskins-Creek-Trail-and-Baskins-Creek-Falls,35.67745,-83.47853
39,Baxter Creek Trail,0.9201,1,Baxter Creek Trail,Baxter Creek Trail,Great Smoky Mountains National Park,Waynesville,North Carolina,United States,25266.638,1522.7808,5,point to point,4.5,7,"['dogs-no', 'forest', 'views', 'wild-flowers']","['birding', 'hiking', 'nature-trips']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Baxter-Creek-Trail,North-Carolina,https://www.alltrails.com/trail/us/North-Carolina/Baxter-Creek-Trail,35.75111,-83.10966
40,Bay Trail,0.7216400000000001,0,Pelican Bay Trail,Pelican Bay Trail,Channel Islands National Park,Ventura,California,United States,6437.36,249.936,3,out and back,4.5,10,"['cave', 'dogs-no', 'views', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Pelican-Bay-Trail,California,https://www.alltrails.com/trail/us/California/Pelican-Bay-Trail,34.01749,-119.68349
